FileType	fastq	Read submission file type
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	library_layout	file_name	file_md5	library_construction_protocol
D6310	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_D6310.fastq.gz	5013768f7c78fc73864e2511078ccc07	Nanopore SQK-LSK114
DNA RNA Shield control	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_DNA_RNA_Shield.fastq.gz	0c58dd583f188c0934ba8cb62c68d57d	Nanopore SQK-LSK114
pool_1	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool1.fastq.gz	e46810709dfbef0bbc80b5b2f2eb18fd	Nanopore SQK-LSK114
pool_10	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool10.fastq.gz	bd9ae104d87041c83f6f05cb03302c0e	Nanopore SQK-LSK114
pool_11	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool11.fastq.gz	fe9e40f4694c25d825332f92091ae7e3	Nanopore SQK-LSK114
pool_12	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool12.fastq.gz	eb3c475739f9396a7a717559b506b30b	Nanopore SQK-LSK114
pool_13	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool13.fastq.gz	a2d19958bc0fc266e9aac819924efe77	Nanopore SQK-LSK114
pool_14	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool14.fastq.gz	5e3a17cd330d52aa6cc851aba95afb59	Nanopore SQK-LSK114
pool_15	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool15.fastq.gz	ad62972f5c38e56c673444d4a177e53b	Nanopore SQK-LSK114
pool_16	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool16.fastq.gz	0163a4d7090f5667a2af2fe8e430c5ea	Nanopore SQK-LSK114
pool_17	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool17.fastq.gz	2b90675abadfa1a59ac6710716759937	Nanopore SQK-LSK114
pool_19	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool19.fastq.gz	85fd2eaffbde137b3564709920827e79	Nanopore SQK-LSK114
pool_2	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool2.fastq.gz	ad362743cb395c2778c35c795c720237	Nanopore SQK-LSK114
pool_20	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool20.fastq.gz	c67333475e90c26fbf46de3a156894e6	Nanopore SQK-LSK114
pool_21	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool21.fastq.gz	294111f324f634e4102315ed08ddd5cd	Nanopore SQK-LSK114
pool_22	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool22.fastq.gz	08b2d73739e5f718661cad739fbf0432	Nanopore SQK-LSK114
pool_23	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool23.fastq.gz	7b7fcebea0fbe01583d6907a387a5d43	Nanopore SQK-LSK114
pool_24	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool24.fastq.gz	b508e05e8f73ac8f82d713cc8169b6d6	Nanopore SQK-LSK114
pool_25	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool25.fastq.gz	4a2ae15110f53d9e15fd3ed7deed64e7	Nanopore SQK-LSK114
pool_26	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool26.fastq.gz	83c0ab16ae9fcdd30cc76cebc487b492	Nanopore SQK-LSK114
pool_27	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool27.fastq.gz	648d046d98c2cf2e5b6dae16703c8a39	Nanopore SQK-LSK114
pool_28	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool28.fastq.gz	dbe0c17f591bc0d3f8dfdf0784ce74f1	Nanopore SQK-LSK114
pool_29	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool29.fastq.gz	a9349b102bf4fa1fcaee7cc42c502213	Nanopore SQK-LSK114
pool_3	PRJEB112398	MinION	Drosobiome	GENOMIC	PCR	AMPLICON	SINGLE	ITS_Pool3.fastq.gz	2ad7f5911c1b4848e0d0fc525c4a565b	Nanopore SQK-LSK114
