OTU	SRR19709989	SRR19709990	SRR19709991	SRR19709992	SRR19709993	SRR19709994	SRR19709995	SRR19709997	SRR19709998	SRR19709999	SRR19710000	SRR19710001	SRR19710002	SRR19710003	SRR19710004	SRR19710005	SRR19710006	SRR19710009	SRR19710010	SRR19710011	SRR19710012	SRR19710013	SRR19710014	SRR19710015	SRR19710016	SRR19710017	SRR19710018	SRR19710019	SRR19710020	SRR19710021	SRR19710022	SRR19710023	SRR19710025	SRR19710026	SRR19710027	SRR19710028	SRR19710029	SRR19710030	SRR19710031	SRR19710032	SRR19710033	SRR19710034	SRR19710036	SRR19710037	SRR19710038	SRR19710039	SRR19710040	SRR19710041	SRR19710042	SRR19710043	SRR19710044	SRR19710045	SRR19710048	SRR19710049	SRR19710050	SRR19710051	SRR19710088	SRR19710089	SRR19710090	SRR19710091	SRR19710092	SRR19710093	SRR19710094	SRR19710095	SRR19710097	SRR19710098	SRR19710099	SRR19710100	SRR19710101	SRR19710102	SRR19710103	SRR19710104	SRR19710105	SRR19710106	SRR19710108	SRR19710109	SRR19710110	SRR19710111	SRR19710112	SRR19710113	SRR19710114	SRR19710115	SRR19710116	SRR19710117	SRR19710119	SRR19710120	SRR19710121	SRR19710124	SRR19710125	SRR19710126	SRR19710128	SRR19710129	SRR19710130	SRR19710131	SRR19710132	SRR19710133	SRR19710134	SRR19710135	SRR19710136	SRR19710137	SRR19710139	SRR19710140	SRR19710141	SRR19710142	SRR19710143	SRR19710144	SRR19710145	SRR19710146	SRR19710147	SRR19710148	SRR19710150	SRR19710151	SRR19710152	SRR19710153	SRR19710154	SRR19710155	SRR19710156	SRR19710157	SRR19710158	SRR19710159	SRR19710160	SRR19710161	SRR19710162	SRR19710163	SRR19710164	SRR19710165	SRR19710167	SRR19710168	SRR19710169	SRR19710170	SRR19710171	SRR19710172	SRR19710173	SRR19710174	SRR19710175	SRR19710176	SRR19710178	SRR19710179	SRR19710180	SRR19710181	SRR19710182	SRR19710183	SRR19710184	SRR19710185	SRR19710186	SRR19710187	SRR19710189	SRR19710190	SRR19710191	SRR19710192	SRR19710193	SRR19710194	SRR19710195	SRR19710230	SRR19710231	SRR19710233	SRR19710234	SRR19710235	SRR19710236	SRR19710237	SRR19710238	SRR19710239	SRR19710240	SRR19710241	SRR19710242	SRR19710244	SRR19710245	SRR19710246	SRR19710247	SRR19710248	SRR19710249	SRR19710250	SRR19710251	SRR19710252	SRR19710253	SRR19710255	SRR19710256	SRR19710257	SRR19710258	SRR19710259	SRR19710260	SRR19710261	SRR19710262	SRR19710263	SRR19710264	SRR19710266	SRR19710267	SRR19710268	SRR19710269	SRR19710270	SRR19710272	SRR19710273	SRR19710274	SRR19710275	SRR19710276	SRR19710277	SRR19710278	SRR19710279	SRR19710280	SRR19710281	SRR19710283	SRR19710284	SRR19710285	SRR19710286	SRR19710287	SRR19710288	SRR19710289	SRR19710290	SRR19710291	SRR19710292
C1	17609	12809	7913	19270	15549	11015	11409	12582	4361	11991	14669	2187	11422	20053	17130	4394	27774	2488	27212	1784	1	2	670	413	11	0	2	0	0	21	2	8	7	26	4	0	7	5975	0	2401	970	1	1352	2	3	7331	3571	0	13	16	47	1	12	0	5	25	4	0	3	3	6	7	0	0	8	0	1	1	11	0	7	0	1	125	906	58	15	17	7	12	7	23	19	21	7	17	7	11	26	9	30	4	3	0	0	0	2	0	0	0	0	7	0	2	32	9	0	135	164	9	0	0	9	7	0	10	0	0	0	3	44	15	1	7	1	1	1	1	75	2	0	12	2	0	14	0	9	2	0	0	2	3	168	0	182	9	70	0	0	2	10	5	13	154	2	6	3	0	19	1	0	28	18	0	0	7	0	0	9	0	0	0	0	1	1	0	2	0	11	3	0	0	4	0	0	7	0	0	0	2573	95	1461	26	1	0	83	2418	1	0	1	8	23	1	3	22	1	7	1	2	15
C2	10636	21835	10054	22027	13225	15349	3328	11611	1148	6710	24861	607	13036	16759	23181	15538	14061	1326	19911	688	571	73	5388	5174	49	1	183	494	289	2187	3	160	1827	120	112	1200	842	7078	6	9329	4846	1630	6371	357	3434	1497	4872	1161	1873	3412	3055	1154	1870	510	2646	218	21	7	17	36	30	21	10	36	11	20	56	8	12	14	13	10	30	13248	1013	6088	1837	2158	247	258	223	302	314	1693	468	294	151	18	1613	145	193	1390	6	10	4	10	8	0	4	2	42	69	98	116	192	76	37	7	1318	2287	67	56	588	695	61	2706	32	3	35	6	281	2965	9621	18	146	362	14	13	1926	741	127	52	12	1	690	12	20	21	4	7	14	1298	7326	11986	7741	704	2020	3	5	9	54	84	618	47	19	48	8	11	18	40	47	43	49	24	139	17	1	15	594	212	58	5	198	390	11	6	20	31	37	8	3	19	2	0	2827	132	16	3005	480	12679	2658	13469	1360	2613	7	530	4941	5362	78	1	30	33	43	21	25	7	463	6	709	427
C3	7405	3466	1788	4743	2740	2569	1569	3957	425	2542	1990	411	2374	2349	3053	1341	3146	1478	4171	23	15	21	329	3553	17	3	50	14	1611	221	15	326	352	82	34	9	53	1178	4	1559	798	256	4710	41	208	3576	3178	42	57	100	100	85	263	51	98	158	4	1	7	10	9	25	3	35	55	4	53	6	2	3	9	11	2	7552	1617	6176	235	2306	110	624	881	433	1284	878	210	81	140	4	1784	55	4858	242	2	4	1	3	5	0	0	1	2	65	30	27	51	46	15	127	541	34	2	33	138	28	17	337	5	3	8	2	11	8	48	18	555	77	2	18	271	33	7	63	47	3	66	6	102	52	0	0	42	210	10224	3298	1618	548	94	2	2	30	47	19	919	10	3	10	11	3	8	25	49	53	15	27	5	8	3	21	118	366	9	5	17	22	4	0	16	6	19	8	5	2	2	0	10	150	5	29	137	2340	2144	552	277	90	0	12	275	44	28	11	13	6	6	9	54	8	116	22	6	123
C4	1580	972	630	1515	1677	752	675	826	314	522	1516	133	729	2006	1623	142	3824	172	2263	87	0	0	4	1	0	0	0	0	0	4	0	0	0	0	0	0	0	225	0	56	6	0	15	0	0	210	103	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	2	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	4	0	1	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	7	21	0	0	0	1	49	0	0	0	0	2	0	0	0	0	0	0	0	3
C5	86	158	91	188	180	48	15	71	9	2	239	13	79	302	345	52	407	5	77	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C6	3	1	0	0	1	0	0	0	0	1	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7	18	152	44	142	64	83	27	3	4	56	150	0	19	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	10	0	0	0	0	2	0	5	0	0	0	3	16	3	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1122	489	335	118	233	37	1909	34	2453	49	933	369	146	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	3	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8	43	66	258	298	149	181	0	1	3	2	102	0	22	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	571	12	351	35	103	14	89	31	88	115	96	112	9	34	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9	7	1	0	0	0	2	5	2	2	0	9	4	3	2	2	5	2	2	5	4	2	4	4	5	4	3	2	26	1	42	1	1	52	502	1	23	27	81	0	22	5	857	564	133	240	11	270	182	204	58	190	544	275	12	243	11	4	4	1	0	3	0	0	1	0	4	2	0	1	1	5	0	1	1	0	5	0	4	0	1	0	0	0	0	5	2	7	3	5	1	2	0	0	0	7	0	8	0	0	0	0	4	0	0	2	2	0	7	3	0	0	5	1	2	7	29	5	4	3	0	2	1556	553	0	1	83	8	2	6	5	265	8	44	15	7	4	605	0	0	1	2	2	3	1	3	0	3	1	3	3	2	1	4	0	13	1	1	3	6	4	0	0	0	4	0	1	0	2	0	1	4	0	1	0	0	4	1	4	8	0	3	0	2	0	0	1	340	5	0	0	0	4	5	2	0	0	3	2	4	0	1	7	0	0	0	1	0	1	2	5
C10	5	2	0	0	0	3	0	1	0	0	24	0	0	0	0	0	0	0	0	0	499	0	0	0	0	0	0	58	0	535	15	60	96	106	53	15	54	190	0	2	20	251	209	128	99	0	213	172	468	792	238	255	738	52	211	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	3	10	1	0	10	0	9	0	0	10	8	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	389	696	378	0	0	248	0	7	4	112	3	32	265	67	46	3	33	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	5	20	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2
