"","sample_name","location","host_species","last_meal"
"2","m.ora1","Central Valley 1/Manteca","D.melanogaster","orange"
"3","s.ora1","Central Valley 1/Manteca","D.simulans","orange"
"4","m.ora2","Central Valley 2/Escalon","D.melanogaster","orange"
"5","s.ora2","Central Valley 2/Escalon","D.simulans","orange"
"6","m.ora3","Central Valley 3/Brentwood","D.melanogaster","orange"
"7","s.ora3","Central Valley 3/Brentwood","D.simulans","orange"
"8","m.str","Central Valley 4/Waterford","D.melanogaster","strawberry"
"9","s.str","Central Valley 4/Waterford","D.simulans","strawberry"
"10","m.app","Johnston, RI","D.melanogaster","apple"
"11","s.app","Johnston, RI","D.simulans","apple"
"12","m.pea","Johnston, RI","D.melanogaster","peach"
"13","s.pea","Johnston, RI","D.simulans","peach"
"14","m.com","Johnston, RI","D.melanogaster","compost pile"
"15","s.com","Johnston, RI","D.simulans","compost pile"
"16","m.pet1","Petrovlab Stanford,CA","D.melanogaster","Lab-food"
"17","m.pet2","Petrovlab Stanford,CA","D.melanogaster","Lab-food"
"18","m.pet3","Petrovlab Stanford,CA","D.melanogaster","Lab-food"
"19","m.pet4","Petrovlab Stanford,CA","D.melanogaster","Lab-food"
"20","m.pet5","Petrovlab Stanford,CA","D.melanogaster","Lab-food"
"21","m.pet6","Petrovlab Stanford,CA","D.melanogaster","Lab-food"
"22","s.pet1","Petrovlab Stanford,CA","D.simulans","Lab-food"
"23","s.pet2","Petrovlab Stanford,CA","D.simulans","Lab-food"
"24","s.pet3","Petrovlab Stanford,CA","D.simulans","Lab-food"
"25","s.pet4","Petrovlab Stanford,CA","D.simulans","Lab-food"
"26","s.pet5","Petrovlab Stanford,CA","D.simulans","Lab-food"
"27","s.pet6","Petrovlab Stanford,CA","D.simulans","Lab-food"
"28","m.pet1_l","Petrovlab Stanford,CA","D.melanogaster","Lab-food"
"29","m.pet2_l","Petrovlab Stanford,CA","D.melanogaster","Lab-food"
"30","m.pet3_l","Petrovlab Stanford,CA","D.melanogaster","Lab-food"
"31","m.pet4_l","Petrovlab Stanford,CA","D.melanogaster","Lab-food"
"32","m.pet5_l","Petrovlab Stanford,CA","D.melanogaster","Lab-food"
"33","m.pet6_l","Petrovlab Stanford,CA","D.melanogaster","Lab-food"
"34","s.pet1_l","Petrovlab Stanford,CA","D.simulans","Lab-food"
"35","s.pet2_l","Petrovlab Stanford,CA","D.simulans","Lab-food"
"36","s.pet3_l","Petrovlab Stanford,CA","D.simulans","Lab-food"
"37","s.pet4_l","Petrovlab Stanford,CA","D.simulans","Lab-food"
"38","s.pet5_l","Petrovlab Stanford,CA","D.simulans","Lab-food"
"39","s.pet6_l","Petrovlab Stanford,CA","D.simulans","Lab-food"
"40","mel","UCSD Stock Center","D.melanogaster","Lab-food"
"41","sim","UCSD Stock Center","D.simulans","Lab-food"
"42","sech","UCSD Stock Center","D.sechellia","Lab-food"
"43","yak","UCSD Stock Center","D.yakuba","Lab-food"
"44","erec","UCSD Stock Center","D.erecta","Lab-food"
"45","pers","UCSD Stock Center","D.persimilis","Lab-food"
"46","pseu","UCSD Stock Center","D.pseudoobscura","Lab-food"
"47","vir","UCSD Stock Center","D.virilis","Lab-food"
"48","moja","UCSD Stock Center","D.mojavensis","Lab-food"
"49","mel_l","UCSD Stock Center","D.melanogaster","Lab-food"
"50","sim_l","UCSD Stock Center","D.simulans","Lab-food"
"51","sech_l","UCSD Stock Center","D.sechellia","Lab-food"
"52","yak_l","UCSD Stock Center","D.yakuba","Lab-food"
"53","erec_l","UCSD Stock Center","D.erecta","Lab-food"
"54","pers_l","UCSD Stock Center","D.persimilis","Lab-food"
"55","pseu_l","UCSD Stock Center","D.pseudoobscura","Lab-food"
"56","vir_l","UCSD Stock Center","D.virilis","Lab-food"
"57","moja_l","UCSD Stock Center","D.mojavensis","Lab-food"
