OTU	erec	erec_l	m.app	m.com	m.ora1	m.ora2	m.ora3	m.pea	m.pet1	m.pet1_l	m.pet2	m.pet2_l	m.pet3	m.pet3_l	m.pet4	m.pet4_l	m.pet5	m.pet5_l	m.pet6	m.pet6_l	m.str	mel	mel_l	moja	moja_l	pers	pers_l	pseu	pseu_l	s.app	s.com	s.ora1	s.ora2	s.ora3	s.pea	s.pet1	s.pet1_l	s.pet2	s.pet2_l	s.pet3	s.pet3_l	s.pet4	s.pet4_l	s.pet5	s.pet5_l	s.pet6	s.pet6_l	s.str	sech	sech_l	sim	sim_l	vir	vir_l	yak	yak_l
C1	94	21	385	80	2	40	127	263	0	0	0	0	0	0	0	0	0	0	0	0	314	70	14	12	0	9	24	5	2	145	149	23	41	3	242	0	0	0	0	0	1	0	0	0	0	0	0	105	13	5	3	3	128	123	11	1
C2	82	0	2	21	0	0	0	15	1	3	0	1	91	0	13	4	0	0	10	2	2	0	0	0	0	1	0	0	0	0	0	0	2	17	15	0	0	0	1	0	0	15	7	2	0	0	0	0	54	2	0	0	0	1	36	0
C3	7854	6339	9779	2824	173	2783	3601	9019	0	35	0	0	0	0	0	25	0	0	39	0	3686	4610	7790	7249	2516	532	5141	5464	6044	6435	2320	916	2190	251	5744	0	0	0	0	1	7289	13	0	0	0	7	0	2894	2413	3812	1108	7528	3559	8902	12218	7831
C4	3	0	0	0	0	0	0	0	0	0	0	0	0	8	0	6	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	5	0	0	0	0	0	0	1	0	0	0	0	8	0
C5	108	0	1	4	0	19	0	2	6	0	0	0	13	0	3	25	11	0	2	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	220	0	0	0	0	0	57	1	0	1	0	0	7	0
C6	8	1	3	0	3	8	32	11	7	10	0	4	5	1	5	8	6	19	0	3	15	13	5	5	3	9	5	4	7	1	8	2	6	1	10	1	0	1	4	0	3	5	4	1	0	0	0	0	5	3	0	3	5	3	4	0
C7	2524	294	1	111	0	46	0	10	0	4889	0	0	0	1114	0	0	0	0	0	0	0	154	1	587	3215	3086	14	408	1586	0	47	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	642	71	23	0	230	72	1494	0
C8	98	1	1	8	0	0	1	0	1	0	1	0	74	24	7	27	0	1	31	5	1	0	1	0	0	0	0	0	0	1	1	0	0	0	5	3	0	0	9	9	0	32	22	0	0	1	1	0	41	10	0	0	0	0	17	0
C9	33	0	0	2	0	0	0	2	0	0	5	0	25	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	5	0	0	19	0	1	0	0	0	40	0
C10	5	0	34	5	0	9	22	7	0	0	0	0	0	0	0	0	0	0	0	0	9	20	3	11	1	0	1	22	1	14	1	5	2	1	15	0	0	0	0	0	2	0	0	0	0	0	0	4	4	0	2	2	10	3	2	0
C11	40	1	0	0	0	0	0	0	0	57	0	0	2	3	2	0	0	0	0	0	0	11	0	0	10	56	0	7	38	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	4	0	35	0
C14	14	0	0	0	0	0	0	0	0	1	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	6	0	0	0	0	0	7	0
C15	5	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
C16	212	0	0	8	0	0	0	0	440	2	23	0	0	0	0	0	0	0	164	9704	0	57	0	123	11	112	820	57	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	1793	2	15	0
C19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0
C21	18	2	1	5	0	0	1	2	3	0	1	0	7	6	1	23	0	0	7	2	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	9	3	0	0	0	1	1	11	5	0	0	0	3	6	0
C22	7	0	0	1	0	2	1	0	14	1	0	0	11	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	1	0	0	0	0	11	0	1	0	0	0	5	0
C23	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C24	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	3	0
C25	12	1	17	4	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	3	0	1	5	4	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	1	0	1	16	0
C27	7	0	0	1	0	0	0	0	0	0	0	0	22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
