OTU	SRR8447516	SRR8447517	SRR8447518	SRR8447519	SRR8447520	SRR8447521	SRR8447522	SRR8447523	SRR8447524	SRR8447525	SRR8447526	SRR8447527	SRR8447528	SRR8447529	SRR8447530	SRR8447531	SRR8447532	SRR8447533	SRR8447534	SRR8447535	SRR8447536	SRR8447537	SRR8447538	SRR8447539	SRR8447540	SRR8447541	SRR8447542	SRR8447543	SRR8447544	SRR8447545	SRR8447546	SRR8447547	SRR8447548	SRR8447549	SRR8447550	SRR8447551	SRR8447552	SRR8447553	SRR8447554	SRR8447555	SRR8447556	SRR8447557	SRR8447558	SRR8447559	SRR8447560	SRR8447561	SRR8447562	SRR8447563	SRR8447564	SRR8447565	SRR8447566	SRR8447567	SRR8447568	SRR8447569	SRR8447570	SRR8447571	SRR8447572	SRR8447573	SRR8447574	SRR8447575	SRR8447576	SRR8447577	SRR8447578	SRR8447579	SRR8447580	SRR8447581	SRR8447582	SRR8447583	SRR8447584	SRR8447585	SRR8447586	SRR8447587	SRR8447588	SRR8447589	SRR8447590	SRR8447591	SRR8447592	SRR8447593
C1	108457	221143	100592	364	387	0	267	219	75	168	202	67	343	34905	251	18328	62	226	203	123	326	358	90	382	244	311	250	240	0	0	0	223	249	199	160	0	451	224	276	107	129	8	137	237	210	245	99	108	181	280	0	51844	17	226	147	276	254	181	287	359	306	130	148	404	191	37100	234	224	331	7	0	412	4	6822	243	288	0	169
C2	20016	989	9873	1651	470	2	434	7	9	9	181	1	231	1433	648	6988	17	253	56	302	121	934	10	1091	5	200	224	776	0	18	951	1247	2243	85	66	0	7171	67	1907	289	1936	45	4	35	124	39	612	690	98	121	1148	1297	4	247	99	2	56	48	2539	80	960	173	258	0	1076	10915	334	5	44	2906	0	24	18	272	19	152	388	52
C3	313	0	0	1	7705	0	3	11	0	2196	1267	0	2755	0	289	0	0	10	0	0	9	2	14776	0	0	1693	105	3	0	0	0	1122	1466	4561	32	0	2	5744	2888	7	0	0	0	2808	0	213	7	1	12	123	0	0	0	3057	2	7211	0	1392	0	8700	27	647	0	0	4	0	9	2	3	0	0	0	0	0	2827	0	0	0
C4	2218	1	0	0	0	0	0	0	0	0	0	1	0	1	5	0	0	0	0	0	0	0	0	0	5	0	11	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	13	0	0	3	0	0	0	0	0	0	6	0	0	0	0	2	0	2	19	0	0	1	455	0	24	0	0	0	0	0	0	0	4	0	0
C5	161	2064	851	2060	16	0	13	217	6556	7	259	0	122	748	99	11	1	453	26	146	11	100	858	5	342	2951	2137	213	0	3	0	272	92	8	2275	1	46	1135	18	373	3813	0	5	121	98	67	216	159	666	109	1	4618	6	123	35	30	168	121	425	41	659	65	3	0	29	3420	0	51	819	2493	0	942	0	35	51	201	0	4
C6	273	0	426	77	7	0	1706	11	2	8	13956	0	4532	1801	6600	1210	2	164	14	60	270	747	12	56	82	192	189	1680	0	6	109	858	208	774	331	0	27	375	612	149	13	262	0	19	30	5	4591	1067	0	411	1259	95	10	3730	963	0	8	55395	3	191	518	28897	3939	10	227	137	49	12	1043	7302	1	201	20	44	505	258	18	3
C7	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
C8	88	23657	4665	32	14	6	33	15	332	0	152	48	1	372	5	17791	1	6	1	65	1	5	230	1	0	119	17	2	0	1	0	27	30	3	0	0	59	1460	7	38	6360	239	3	1	10	1	19	74	18	1	9	2272	2	8	7	23	0	0	21	173	359	0	0	0	4	3282	0	50	0	0	6918	2	3	58	26	272	0	12
C9	330	1542	719	1	1	0	0	32	2866	0	257	6	0	81	56	157	0	8	0	2	14	0	4	2	63	43	3	904	0	0	0	309	0	0	302	3	3	6	0	38	47	0	1	6	1	2	30	0	24	17	8	172	1	114	8	341	3	13	7	14	88	150	0	497	3	2152	0	0	429	1	5	44	0	32	10	55	2	2
C10	11	6	6	342	39	1	6	8	2	208	14	2	26	0	12	6	11	41	15	93	264	11	88	8	84	105	127	256	0	0	0	15	454	29	16	0	38	320	7	608	1	5	1	11	2	3	33	18	725	20	41	4	17	3	3	4	24	3	64	63	476	0	9	0	207	4	6	13	30	21	5	2	4	0	7	0	0	44
C11	155	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C12	176	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C13	115	2	471	1	0	0	0	0	0	1	2	0	1	0	0	25	0	0	0	0	1	2	2	0	1	7	2	1	0	0	0	2	0	0	0	0	0	3	0	17	2	0	0	0	0	0	29	0	29	0	0	668	0	0	2	0	0	0	6	1	10	0	0	0	1	18	0	0	1	0	0	4	0	6	0	1	0	0
C14	44	3	64	2	0	0	0	0	225	0	0	0	0	50	0	16	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	3	9	0	0	0	0	0	0	1	2	0	0	153	0	0	0	0	0	0	0	1	4	0	0	0	6	102	0	0	0	1	0	0	1	104	0	1	0	5
C15	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C16	24	0	1	0	0	3	0	0	0	0	0	2	0	0	0	2	1	0	7	0	1	0	0	0	0	4	0	0	0	7	0	0	0	0	1	1	0	2	0	0	0	3	0	0	0	0	1	0	0	0	5	6	0	0	0	0	3	0	0	0	2	0	0	0	2	0	0	0	1	0	16	0	0	2	0	0	0	13
C17	6	0	2977	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	21	0	3	0	0	0	0	0	0	38	1	18	1	0	2	0	0	0	0	0	0	0	0	187	0	0	0	152	10	0	2	0	0	0	0	0	0	0	1	0	0
