"","Sample_name","Collection_Date","Locality"
"1","SRR8447516","2012-07-25","USA"
"2","SRR8447517","2012-06-10","USA"
"3","SRR8447518","2012-10-20","USA"
"4","SRR8447519","2014-09-18","France"
"5","SRR8447520","2014-07-26","Finland"
"6","SRR8447521","2016-10-16","Germany"
"7","SRR8447522","2014-10-15","Germany"
"8","SRR8447523","2014-09-03","Germany"
"9","SRR8447524","2013-11-15","USA"
"10","SRR8447525","2014-07-14","United Kingdom"
"11","SRR8447526","2014-10-10","Ukraine"
"12","SRR8447527","2016-10-16","Germany"
"13","SRR8447528","2014-07-26","Ukraine"
"14","SRR8447529","2013-05-05","USA"
"15","SRR8447530","2014-08-27","Ukraine"
"16","SRR8447531","2012-09-23","USA"
"17","SRR8447532","2014-06-26","Germany"
"18","SRR8447533","2014-08-18","France"
"19","SRR8447534","2014-10-10","Germany"
"20","SRR8447535","2014-07-08","France"
"21","SRR8447536","2014-08-27","Finland"
"22","SRR8447537","2014-09-13","Ukraine"
"23","SRR8447538","2014-07-31","Sweden"
"24","SRR8447539","2016-10-23","Germany"
"25","SRR8447540","2014-08-31","Turkey"
"26","SRR8447541","2014-10-01","Ukraine"
"27","SRR8447542","2014-10-23","Turkey"
"28","SRR8447543","2014-08-24","Ukraine"
"29","SRR8447544","2014-06-26","Germany"
"30","SRR8447545","2017-10-21","Germany"
"31","SRR8447546","2017-10-21","Germany"
"32","SRR8447547","2014-08-29","Ukraine"
"33","SRR8447548","2014-09-13","Ukraine"
"34","SRR8447549","2014-09-13","Ukraine"
"35","SRR8447550","2014-10-20","Spain"
"36","SRR8447551","2016-10-16","Germany"
"37","SRR8447552","2014-10-11","Ukraine"
"38","SRR8447553","2014-10-05","Switzerland"
"39","SRR8447554","2014-09-13","Ukraine"
"40","SRR8447555","2014-07-24","Switzerland"
"41","SRR8447556","2013-05-05","USA"
"42","SRR8447557","2014-10-10","Germany"
"43","SRR8447558","2016-10-16","Germany"
"44","SRR8447559","2014-09-08","Ukraine"
"45","SRR8447560","2014-08-10","Cyprus"
"46","SRR8447561","2014-08-18","Ukraine"
"47","SRR8447562","2014-09-29","Denmark"
"48","SRR8447563","2014-10-27","France"
"49","SRR8447564","2014-07-25","Finland"
"50","SRR8447565","2014-09-14","Ukraine"
"51","SRR8447566","2016-10-23","Germany"
"52","SRR8447567","2013-03-13","USA"
"53","SRR8447568","2017-10-21","Germany"
"54","SRR8447569","2014-07-22","Ukraine"
"55","SRR8447570","2014-08-20","Ukraine"
"56","SRR8447571","2014-06-19","Germany"
"57","SRR8447572","2016-10-16","Germany"
"58","SRR8447573","2014-07-03","Ukraine"
"59","SRR8447574","2014-10-20","United Kingdom"
"60","SRR8447575","2014-08-17","Austria"
"61","SRR8447576","2014-09-01","Denmark"
"62","SRR8447577","2014-07-22","Ukraine"
"63","SRR8447578","2014-06-26","Germany"
"64","SRR8447579","2014-07-20","Austria"
"65","SRR8447580","2014-11-25","Denmark"
"66","SRR8447581","2012-09-11","USA"
"67","SRR8447582","2014-08-09","Ukraine"
"68","SRR8447583","2014-10-20","United Kingdom"
"69","SRR8447584","2014-09-26","Portugal"
"70","SRR8447585","2014-08-25","United Kingdom"
"71","SRR8447586","2014-06-17","Germany"
"72","SRR8447587","2014-08-13","Spain"
"73","SRR8447588","2017-10-21","Germany"
"74","SRR8447589","2013-03-13","USA"
"75","SRR8447590","2014-06-20","Ukraine"
"76","SRR8447591","2014-10-19","Austria"
"77","SRR8447592","2016-10-16","Germany"
"78","SRR8447593","2014-06-17","Germany"
